question,answer,source,topic
"How can I find a specific internal API, like an `OrderProcessingAPI`, within the Choreo Marketplace if I only know its name or a keyword from its description?","To find a specific service like your `OrderProcessingAPI`, you can use the top search bar in the Choreo Marketplace. You can search by the service's `Name`, `Label`, or `Content` (which includes its overview, summary, and documentation). If you're unsure which attribute contains the keyword, you can select `All` to search across all these criteria simultaneously.",docs\choreo-concepts\choreo-marketplace.md/Discover services,Discover services
"I'm looking for all services that my team has deployed internally within Choreo, not any third-party integrations. How do I filter the Marketplace to see only these?","You can use the left-hand side filter panel in the Choreo Marketplace. Under the `Type` filter, select the `Internal` option. This will display only the services that have been deployed within Choreo by your organization.",docs\choreo-concepts\choreo-marketplace.md/Discover services,Discover services
"My team has deployed a new `CustomerData` service, and we want to ensure it's only accessible within our specific project, not the entire organization or publicly. How can I verify its visibility in the Marketplace?","To verify the network visibility of your `CustomerData` service, you can use the `Network Visibility` filter in the left-hand side filter panel of the Choreo Marketplace. Select the `Project` option to see services exposed only at the project level. This will help you confirm if your service is correctly configured for project-level exposure.",docs\choreo-concepts\choreo-marketplace.md/Discover services,Discover services
"After finding a `PaymentGatewayService` in the Marketplace, how can I view its API contract (e.g., OpenAPI specification) to understand its endpoints and data models before integrating it into my Node.js application?","Once you click on the `PaymentGatewayService` card to open its detailed view, navigate to the `API definition` tab. This tab includes the API definition for the service, which is extracted from the `component.yaml` file in the user repository. If an API definition was not provided by the developer, this tab will be empty.",docs\choreo-concepts\choreo-marketplace.md/Explore a service,Explore a service
I've identified a `NotificationService` in the Marketplace that I want to use in my new Python FastAPI application. Where can I find specific instructions on how to connect to and consume this service?,"After clicking on the `NotificationService` card to view its details, go to the `How to use` tab. This section provides instructions on how to use the selected service, including guidance on creating a connection to it from your component.",docs\choreo-concepts\choreo-marketplace.md/Explore a service,Explore a service
"I'm a service developer and I've just deployed my `InventoryManagement` service. How do I ensure that the 'Overview' section on its Marketplace entry is populated with useful information for other developers, and where can I add additional related documents?","To populate the `Overview` section for your `InventoryManagement` service, you need to provide the overview content via the `Manage → Marketplace` section of your component. Similarly, any additional content you want to include as documents (e.g., detailed guides, FAQs) can be added through the same `Manage → Marketplace` section, and they will appear under the `Related documents` tab in the service's detailed view.",docs\choreo-concepts\choreo-marketplace.md/Explore a service,Explore a service
I've just deployed a new `UserAuthentication` service component with an endpoint to its initial environment in Choreo. Do I need to perform any manual steps to make it discoverable in the Choreo Marketplace?,"No, you do not need to manually add it. Upon deployment to the initial environment, Choreo services are automatically added to the Marketplace. Choreo effortlessly collects essential details like the component name, endpoint name, description, and service definitions during this deployment to generate the corresponding service entry.",docs\choreo-concepts\choreo-marketplace.md/Add a service to the Choreo Marketplace,Add a service to the Choreo Marketplace
"My `OrderProcessing` service depends on a `ShippingAPI` service, which is available in the Choreo Marketplace as `v1`. If the `ShippingAPI` team later releases `v1.3` (a minor version update), will my `OrderProcessing` service automatically start using `v1.3` without me needing to update anything?","Yes, it will. Choreo's semantic-version-based intelligent routing ensures that when you use a service from the Marketplace as a dependency, your dependent service's traffic automatically routes to the latest version of the corresponding service within the same major version. So, if `ShippingAPI` `v1.3` is released, your `OrderProcessing` service will automatically connect to `v1.3`.",docs\choreo-concepts\choreo-marketplace.md/Semantic-version-based intelligent routing in the Choreo Marketplace,Semantic-version-based intelligent routing in the Choreo Marketplace
"I see `v1` and `v2` entries for a `ProductCatalog` service in the Choreo Marketplace. If the actual deployed versions are `v1.0`, `v1.1`, `v1.2`, and `v2.0`, which specific versions do the `v1` and `v2` entries in the Marketplace represent?","In the Choreo Marketplace, service versions are displayed in their major version format, representing the *latest* version of the service within that major version. Therefore, the `v1` entry would represent `v1.2` (the latest within the `v1` major version), and the `v2` entry would represent `v2.0` (the latest within the `v2` major version).",docs\choreo-concepts\choreo-marketplace.md/Service versioning in the Choreo Marketplace,Service versioning in the Choreo Marketplace
"I've updated the description and network visibility settings for my `UserManagement` service component in Choreo. Do I need to manually update its entry in the Choreo Marketplace, or will these changes be reflected automatically?","No, you don't need to manually update it. When you redeploy your `UserManagement` service to any environment, Choreo automatically updates its service definitions, visibility, and descriptions in the Marketplace to reflect the latest changes.",docs\choreo-concepts\choreo-marketplace.md/Edit services in the Choreo Marketplace,Edit services in the Choreo Marketplace
"I'm deploying my first Ballerina microservice to Choreo. What's the initial deployment step I need to take to get it running in the development environment, and can I automate subsequent builds?","For your first Ballerina component deployment, you must manually trigger the initial build. This ensures that Choreo applies all necessary configurations to the development environment. After this initial manual build, you can then enable 'Auto Build on Commit' to automatically trigger builds for subsequent commits.",docs\choreo-concepts\ci-cd.md/Deployment,Deployment
My Java Spring Boot application needs different database connection strings for development and production environments. How do I manage these environment-specific configurations in Choreo?,"To manage environment-specific configurations for your Java Spring Boot application, navigate to the 'Deploy' page of your component in Choreo. From there, locate the card corresponding to the specific environment (e.g., 'Development' or 'Production'), make your necessary configuration changes (like updating database connection strings), and then trigger a new deployment for that environment. These configurations are injected at runtime and are kept separate from your source code.",docs\choreo-concepts\ci-cd.md/Configurations,Configurations
"I want to set up a fully automated CI/CD pipeline for my Node.js API in Choreo so that every time I push a commit, it builds and deploys automatically. How do I achieve this?","To set up a fully automated CI/CD pipeline for your Node.js API, you need to enable two features in Choreo. First, on the 'Build' page, enable 'Auto Build on Commit'. This will automatically trigger a build for every new commit. Second, on the 'Deploy' page, go to the 'Set Up' card and enable 'Auto Deploy on Build'. This will automatically initiate deployment once an automatic build completes. Note that 'Auto Deploy on Build' requires 'Auto Build on Commit' to be enabled.",docs\choreo-concepts\ci-cd.md/Build,Build
I have an external API key for my Python Flask application that I need to inject at runtime. How can I securely store and inject this secret into my Choreo-deployed service?,"Choreo allows you to inject configurations and secrets, such as external API keys, at the environment level during runtime. These are stored in a secure vault, encrypted at rest and in transit. To manage these, you would define them as environment-specific configurations. Go to the 'Deploy' page, select the specific environment card, and add your API key there. Choreo will then inject this secret into your Python Flask application at runtime, ensuring strict separation from your source code.",docs\choreo-concepts\ci-cd.md/Configurations,Configurations
"After successfully testing my Go microservice in the development environment, I want to promote the exact same build to the production environment. What's the process for doing this in Choreo?","Choreo follows a 'build once, deploy many' strategy. Once your Go microservice's image is built and tested in a lower environment like development, you can promote that *same* built container image to higher environments. To do this, navigate to the 'Deploy' page of your component in Choreo, and you will find options to manually promote the component across environments.",docs\choreo-concepts\ci-cd.md/Deployment,Deployment
My recent build for my Dockerfile-based component failed. How can I check the build logs to understand why it failed?,"To view the build logs for your Dockerfile-based component, go to the 'Build' page in Choreo. On this page, you can see a list of your specific builds. To view the detailed logs for a particular failed build, simply click on 'View Details' corresponding to that specific build entry.",docs\choreo-concepts\ci-cd.md/Build,Build
"I need to redeploy a specific, older version of my service that was built from a particular Git commit. How can I ensure Choreo builds and deploys that exact version again?","Choreo supports repeatable builds, meaning it can replicate builds from an identical Git commit, generating Docker images with the same behavior. To build a specific older version, go to the 'Build' page and instead of clicking 'Build Latest', you have the option to select a particular commit from your Git repository and trigger a build for that specific code version.",docs\choreo-concepts\ci-cd.md/Build,Build
How does Choreo ensure my users don't experience downtime when I deploy a new version of my React frontend's backend API?,"Choreo ensures zero downtime during deployments and promotions by performing rolling updates. When a new build of your React frontend's backend API is deployed, Choreo conducts a health check on the new version. Only after the new build passes its health checks is traffic switched to it from the currently running version, preventing any service interruption for your users.",docs\choreo-concepts\ci-cd.md/Zero-downtime deployments,Zero-downtime deployments
I have a custom Dockerfile for my Rust application. How do I ensure Choreo uses my Dockerfile to build the container image instead of auto-generating one?,"Choreo's build pipelines are designed to build a container image either from the provided source code or from a given Dockerfile. If you have a custom Dockerfile for your Rust application, Choreo will use it to build your container image. You simply need to ensure your Dockerfile is part of your provided source code repository.",docs\choreo-concepts\ci-cd.md/Build,Build
"Can I integrate my unit tests for my Java application directly into Choreo's build pipeline, and if so, how?","Yes, Choreo's buildpacks support integrating unit tests directly into the build pipeline for certain component types. While the document mentions referring to 'Integrate Unit Tests into the Build Pipeline' for more details, the general process involves configuring your build pipeline to execute your unit tests as part of the build process before the container image is pushed to the registry.",docs\choreo-concepts\ci-cd.md/Build,Build
I have a Python Flask microservice in a specific directory within my Git repository. How do I deploy this as a component in Choreo?,"To deploy your Python Flask microservice, you would define it as a component in Choreo. A component is linked to a specific directory path in your Git repository that contains your program source code. Choreo will then use this source code to build and deploy your microservice as a single unit of work.",docs\choreo-concepts\component.md/Component,Component
My Go application requires specific build steps defined in a custom Dockerfile. How can I ensure Choreo uses my Dockerfile instead of its default build process when deploying my component?,"Choreo components can be attached to a Git repository path that contains a Dockerfile with build instructions. By placing your custom Dockerfile in the specified directory, Choreo will utilize it to build your component, ensuring your specific build steps are followed.",docs\choreo-concepts\component.md/Component,Component
"I've deployed my Node.js API as a service component in Choreo. If I experience a sudden surge in user traffic, how can I scale this specific API independently to handle the load?","Since each component in Choreo maps to a single pod in the Kubernetes cluster at deployment time, you can deploy, manage, and scale each component independently. This means you can scale your Node.js API component up or down without affecting other components in your project.",docs\choreo-concepts\component.md/Component,Component
"I need to set up a daily data synchronization job using a Java application. Which Choreo component type should I choose for this, and how do I configure it to run every day at a specific time?","For a daily data synchronization job, you should use a 'scheduled integration' component type. This type is designed for jobs/tasks and allows you to configure a cron expression to schedule its execution at specific times, such as daily.",docs\choreo-concepts\component.md/Component,Component
"I'm developing a React single-page application (SPA). What Choreo component type is most suitable for hosting this frontend application, and how does it differ from deploying a backend API?","For hosting a React single-page application, you would typically use a 'web application' component type. Choreo supports various component types like 'services' (for APIs), 'API proxies', and 'web applications', each with unique features tailored to their characteristics. A web application component would be optimized for serving static or client-side rendered content, whereas a service component is for exposing APIs.",docs\choreo-concepts\component.md/Component,Component
The documentation states that each Choreo component maps to a single Kubernetes pod. What are the practical implications of this for my deployed Python microservice regarding resource allocation and isolation?,"The mapping of each Choreo component to a single Kubernetes pod means that your Python microservice will run within its own isolated environment. This provides dedicated resource allocation for your component and allows for independent deployment, management, and scaling, ensuring that actions on one component do not directly impact others.",docs\choreo-concepts\component.md/Component,Component
"How do I connect my Node.js microservice deployed on Choreo to an external PostgreSQL database hosted on AWS RDS, ensuring secure access to the connection string?","To connect your Node.js microservice to an external PostgreSQL database like one on AWS RDS, you would utilize Choreo's 'Connections' feature. First, you create a connection to your AWS RDS instance within Choreo. Choreo will then provide a Connection ID along with a set of connection parameters (e.g., host, port, username, password, database name). You must then configure your Choreo component (your Node.js microservice) to map these connection parameters to specific environment variable names (e.g., `DB_HOST`, `DB_USER`, `DB_PASSWORD`). At runtime, Choreo dynamically injects the actual values into these environment variables. In your Node.js application, you would then programmatically retrieve these values using `process.env.DB_HOST`, `process.env.DB_USER`, etc., to construct your database connection string and establish the connection. This method ensures that connection details are loosely coupled from your service implementation.",docs\choreo-concepts\connections.md/Connections,Connections
"My Python FastAPI backend needs to send SMS messages via Twilio, and I anticipate other Python or Java microservices within the same Choreo project might also need to use Twilio in the future. What's the best way to set up this Twilio integration for project-wide reuse?","For a third-party service like Twilio that you intend to share and reuse across multiple components within the same Choreo project, the recommended approach is to create a 'Project Connection'. Project Connections are designed to be used by any component within that particular project. After creating the Project Connection for Twilio, Choreo will provide a Connection ID and relevant parameters (e.g., Twilio Account SID, Auth Token). You will then configure each component (like your Python FastAPI service or future Java microservices) to map these connection parameters to environment variable names (e.g., `TWILIO_ACCOUNT_SID`, `TWILIO_AUTH_TOKEN`). Your Python FastAPI service can then read these environment variables using `os.environ.get('TWILIO_ACCOUNT_SID')` to initialize the Twilio client. This setup allows all components to refer to the same Twilio connection using its ID, promoting reuse and consistency across your project.",docs\choreo-concepts\connections.md/Project Connections,Project Connections
