question,answer,source
What is the primary purpose of the Choreo Marketplace?,The Choreo Marketplace primarily promotes and facilitates the reuse and sharing of services. It enables users to share all services deployed within Choreo and allows others to easily browse and search for available services.,docs\choreo-concepts\choreo-marketplace.md/Choreo Marketplace
What types of content can users find and refer to within the Choreo Marketplace for available services?,"Within the Choreo Marketplace, users can find and refer to service definitions, documentation, and instructions on how to use the available services.",docs\choreo-concepts\choreo-marketplace.md/Choreo Marketplace
Why is effective discoverability desirable in the Choreo Marketplace?,"Effective discoverability is desirable in the Choreo Marketplace because it includes all services deployed in an organization, which can be a large number of services. This ensures users can efficiently find the services they need.",docs\choreo-concepts\choreo-marketplace.md/Discover services
What are the two primary methods available for users to explore services in the Choreo Marketplace?,The two primary methods available for users to explore services in the Choreo Marketplace are using the search bar or applying various filter criteria.,docs\choreo-concepts\choreo-marketplace.md/Discover services
Where is the search bar located in the Choreo Marketplace interface?,"The search bar in the Choreo Marketplace interface is located at the top, providing universal searching capabilities.",docs\choreo-concepts\choreo-marketplace.md/Search
What are the specific search attributes that the top search bar in the Choreo Marketplace allows users to search for text within?,"The top search bar in the Choreo Marketplace allows users to search for text within the following specific search attributes: 'Name' (the service name), 'Label' (the service labels), 'Content' (the service content including overview, summary, and documentation), and 'All' (encompassing all the aforementioned criteria).",docs\choreo-concepts\choreo-marketplace.md/Search
What does the 'All' search attribute encompass when searching for services in the Choreo Marketplace?,"When searching for services in the Choreo Marketplace, the 'All' search attribute encompasses the service name, service labels, and service content (overview, summary, and documentation).",docs\choreo-concepts\choreo-marketplace.md/Search
How is the filtering capability provided in the Choreo Marketplace?,The filtering capability in the Choreo Marketplace is provided through a left-hand side filter panel.,docs\choreo-concepts\choreo-marketplace.md/Filter
"What are the two available options for the 'Type' filter attribute in the Choreo Marketplace, and what do they represent?","The two available options for the 'Type' filter attribute in the Choreo Marketplace are 'Internal' and 'Third-party'. 'Internal' refers to services deployed within Choreo, while 'Third-party' refers to services running externally to Choreo but independently added to the Marketplace.",docs\choreo-concepts\choreo-marketplace.md/Filter
"What are the three choices for the 'Network Visibility' filter attribute in the Choreo Marketplace, and what level of exposure does each choice represent?","The three choices for the 'Network Visibility' filter attribute in the Choreo Marketplace are 'Public,' 'Organization,' and 'Project.' 'Public' filters services exposed publicly, 'Organization' represents services exposed across the entire organization, and 'Project' represents services exposed at the project level.",docs\choreo-concepts\choreo-marketplace.md/Filter
How can a user access the detailed view of a service in the Choreo Marketplace?,A user can access the detailed view of a service in the Choreo Marketplace by clicking on the service card.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
What information is featured in the header of a detailed service page in the Choreo Marketplace?,"The header of a detailed service page in the Choreo Marketplace features the service name, summary, version, labels, and service icon.",docs\choreo-concepts\choreo-marketplace.md/Explore a service
"How does Choreo organize the content of a service's detailed view, and what are the four main tabs?","Choreo organizes the content of a service's detailed view into four tabs. The four main tabs are 'Overview,' 'API definition,' 'How to use,' and 'Related documents.'",docs\choreo-concepts\choreo-marketplace.md/Explore a service
"What kind of information is displayed in the 'Overview' tab of a service's detailed view in the Choreo Marketplace, and when is this section disabled?",The 'Overview' tab of a service's detailed view in the Choreo Marketplace displays the service overview provided by the service developer. This section will be disabled if the service developer has not provided any content at service creation.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
How can a service developer provide or update the overview content for a service in the Choreo Marketplace?,A service developer can provide or update the overview content for a service in the Choreo Marketplace via the 'Manage → Marketplace' section of the component.,docs\choreo-concepts\choreo-marketplace.md/Explore a service
